DATE,BULAN,TAHUN,TINGGI HILAL MINIMUM,ELONGASI GEOSENTRIK MINIMUM,ELONGASI TOPOSENTRIK MINIMUM,BEDA AZIMUT MINIMUM,TINGGI HILAL MAKSIMUM,ELONGASI GEOSENTRIK MAKSIMUM,ELONGASI TOPOSENTRIK MAKSIMUM,BEDA AZIMUT MAKSIMUM,MABIMS NOT VISIBLE,MABIMS VISIBLE,ODEH NOT VISIBLE,ODEH VISIBLE OPTIC,ODEH VISIBLE NAKED EYE,KATSNER NOT VISIBLE,KATSNER VISIBLE OPTIC,KATSNER VISIBLE NAKED EYE
2005-2-9,1,1426,4.88398373268274,7.37171099885556,6.46517386517175,-3.02365121353566,7.22209238202962,9.07589996241089,8.07612209272787,0.579648497223474,0,1,0,1,0,0,1,0
2005-3-10,2,1426,-1.26897464879569,2.83429672305948,2.19841510908041,-2.81940691692989,1.04083718226873,3.14637007663934,2.852394317202,-1.29877257321971,1,0,1,0,0,1,0,0
2005-4-9,3,1426,3.24980859243008,6.30452906421462,5.48975240269823,1.95164818295098,5.87142827316079,8.07097128705243,7.24590682261849,4.86749795838944,0.1,0.9,0.64,0.36,0,0,1,0
2005-5-8,4,1426,-3.0311292001895,2.21675483079871,2.43969143741023,1.8236705935231,-0.58795347556401,2.82838931560884,2.85517707048201,2.71653985258524,1,0,1,0,0,1,0,0
2005-6-7,5,1426,1.48846972318095,6.57618824952093,6.08987696959857,4.22789282458001,5.06478140191475,8.01628527441893,7.29656582534472,6.27194710363023,0.37,0.63,0.97,0.03,0,0.02,0.98,0
2005-7-6,6,1426,-3.98139067121977,4.97695803393928,4.83452300468135,4.74261425389562,-0.504533924722343,5.24699402426191,5.68836346794787,5.17222850994119,1,0,1,0,0,1,0,0
2005-8-5,7,1426,1.01353594920894,5.0091436834301,4.38886293886268,2.27737550951503,3.72962231933084,5.91259918994495,5.19060656613042,4.19079052599426,1,0,1,0,0,0.07,0.93,0
2005-9-4,8,1426,4.87278589837737,6.69623947469581,5.80763961611888,-2.04028922975857,6.35165364229239,8.13429702109182,7.26560652291465,1.08244516759453,0,1,0.03,0.97,0,0,1,0
2005-10-3,9,1426,-2.60924999754237,0.304243462505838,0.321268740702259,-0.0446173669848804,-1.14509559783644,1.07451422677128,1.866489153665,0.850491221254913,1,0,1,0,0,1,0,0
2005-11-2,10,1426,0.202594922679436,4.31382875405019,3.8083563509284,-4.65429728703475,3.15357798189624,5.92108170883047,5.25771860128789,-2.9737594914665,1,0,1,0,0,0.39,0.61,0
2005-12-2,11,1426,5.92339698410304,10.4697399698178,9.77401468879446,-7.62329599136558,9.95720975523344,12.3548255330678,11.4398924774499,-3.81731444562325,0,1,0,0.11,0.89,0,0.79,0.21
2005-12-31,12,1426,0.894689211803249,5.82219619901828,5.24764638363967,-5.22942717899602,4.58299573676982,7.16085013669927,6.32689437886084,-3.18547078900332,0.63,0.37,1,0,0,0.11,0.89,0
2006-1-28,1,1427,-4.46600706219142,4.45253267740918,4.33607543626642,-5.31571408037931,-0.834446269333149,5.50010639967442,6.04631753938861,-4.33653476595092,1,0,1,0,0,1,0,0
2006-2-27,2,1427,3.26813074303454,5.19571314783538,4.18153389404305,-0.456605034672066,5.10952769395732,7.06297596175851,6.12624001604189,2.5589422587733,0.64,0.36,0.85,0.15,0,0,1,0
2006-3-28,3,1427,-2.81040246317719,0.390924543870874,0.76714067900616,-0.306024384317254,-1.06130045445209,1.07182723568904,1.98341470837501,0.916831719106426,1,0,1,0,0,1,0,0
2006-4-27,4,1427,2.4278116772095,7.80678780251063,7.21437202758874,4.80484215233582,6.26174448105562,9.64736427888584,8.92323391038804,7.58524963018584,0.07,0.93,0.54,0.46,0,0,1,0
2006-5-26,5,1427,-2.18493709664569,4.82342027292207,4.70298471048462,4.66342294040385,1.46860296874074,5.79775503750327,5.51988735860885,5.51713159258298,1,0,1,0,0,1,0,0
2006-6-25,6,1427,5.23698311447365,9.42424729352181,8.75742014336996,3.07559228624609,8.84576377423344,11.0322696761743,10.1525680293846,6.59185653901392,0,1,0,0.48,0.52,0,0.99,0.01
2006-7-24,7,1427,0.139690282151212,4.44907372782834,3.90347584013928,2.42187426073002,2.99675032173527,5.32430405415412,4.64462597322609,4.02774545024766,1,0,1,0,0,0.39,0.61,0
2006-8-23,8,1427,4.48657538104368,6.2781447667946,5.38833650388597,-2.2713586358725,5.9542076202133,7.76947545533896,6.91891733830806,0.716215899520989,0.1,0.9,0.31,0.69,0,0,1,0
2006-9-21,9,1427,-3.22087744545009,0.364246346121755,1.06429141671835,-0.348652601834203,-1.83889799759111,1.49470014577537,2.38890181020862,0.561748613161171,1,0,1,0,0,1,0,0
2006-10-21,10,1427,-1.90943466185604,3.29349624413583,3.19016707877834,-4.07753417599366,0.740138982803763,4.30304000815162,4.08069174957765,-3.18755168190626,1,0,1,0,0,1,0,0
2006-11-20,11,1427,1.10852468363564,6.72971057242884,6.25783410160562,-6.66224136655137,4.81384180499007,8.11644592706533,7.47035346601184,-4.73416930766481,0.51,0.49,0.99,0.01,0,0.07,0.93,0
2006-12-19,12,1427,-5.31138785311222,5.05255118991412,5.11204198890575,-5.43252335021805,-1.62406096124944,5.75221591136174,6.37243799113128,-4.54142475307194,1,0,1,0,0,1,0,0
2007-1-18,1,1428,0.964674429696233,4.43612914522464,3.74005085574897,-3.45970377440418,3.75140610639334,5.71492910102499,4.76901737293906,-1.31378592123249,1,0,1,0,0,0.08,0.92,0
2007-2-17,2,1428,6.57578608157579,9.46052910846123,8.47823235335682,1.54469720243981,9.25243472876867,11.4385603508943,10.5945370039556,5.84234297725709,0,1,0,0.09,0.91,0,0.98,0.02
2007-3-18,3,1428,0.205669381861011,3.82060030290334,3.09099339308399,2.38209405421685,2.89598244633573,5.67174406686177,5.10841976204278,4.47164450227916,1,0,1,0,0,0.51,0.49,0
2007-4-17,4,1428,6.16643342380262,13.0656828685781,12.3751620476214,7.16715278867866,11.0844987722817,15.0363730455063,14.2804780032082,11.4973866759881,0,1,0,0,1,0,0.56,0.44
2007-5-16,5,1428,2.67286137123703,8.96258178227428,8.42699969763514,5.76327905657303,7.16821091999445,10.8032942554454,10.0230110235509,8.60012310815711,0.03,0.97,0.23,0.74,0.03,0,1,0
2007-6-14,6,1428,-0.376436756386278,5.57956624876503,5.18060340271999,4.28214092061546,3.52038745265292,6.84166057649987,6.21629443949673,5.81540441115624,0.94,0.06,1,0,0,0.53,0.47,0
2007-7-13,7,1428,-3.99125667332771,3.70536055537441,3.54409954123963,3.54222876045435,-0.708662872231136,4.30805270205426,4.86842513978562,4.14620734582991,1,0,1,0,0,1,0,0
